	BREd	BREu	DRE	Inr_6mer	Pause_button	TATA_8mer	TCT	XCPE1	XCPE2	DCE_I_II_III	DPE
ENSG00000235169.3|HBMT00000001440.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130764.5|ENST00000378251.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116198.8|HBMT00000051171.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169598.11|ENCT00000000611.1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000198912.6|ENST00000486765.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000116876.1|FTMT20400000236.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000196581.6|ENCT00000000667.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000044649.1|MICT00000001945.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000044667.1|ENCT00000021054.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697.13|ENST00000478423.2	0	0	0	0	0	0	0	0	0	0	0
CATG00000044822.1|ENCT00000021088.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069424.10|ENST00000341524.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116254.13|HBMT00000051343.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116251.5|ENST00000234875.4	0	1	0	0	0	0	0	0	0	0	0
ENSG00000158286.8|ENST00000377948.2	0	0	0	1	0	0	0	0	0	0	0
ENSG00000116237.11|ENST00000343813.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173673.7|ENST00000377898.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292.6|ENST00000377893.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000097021.15|ENST00000608083.1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000069812.7|ENST00000377834.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187017.10|ENST00000377828.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000215788.5|ENST00000356876.3	0	1	0	0	0	0	0	0	0	0	0
ENSG00000171680.16|ENST00000544978.1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000162408.10|ENST00000377705.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173662.15|ENST00000351136.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204859.7|FTMT20300004561.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162413.12|ENST00000377658.4	0	0	0	1	0	0	0	0	0	0	0
ENSG00000116273.5|ENCT00000000787.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000041988.11|FTMT20300074696.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923.11|ENST00000377573.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171735.14|ENST00000490738.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000004825.1|ENCT00000000851.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000004846.1|ENCT00000000919.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000045390.1|MICT00000002463.1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000049245.8|MICT00000002474.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049246.10|HBMT00000002053.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049247.9|FTMT20100106747.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049249.4|ENST00000377507.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116288.8|ENST00000377493.5	0	0	0	1	0	0	0	0	0	0	0
ENSG00000116285.8|ENST00000377482.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426.10|ENST00000471889.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000007455.1|HBMT00000002449.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599.13|ENST00000400908.2	0	1	0	0	0	0	0	0	0	0	0
ENSG00000074800.9|ENST00000234590.4	0	0	0	1	0	0	0	0	0	0	0
ENSG00000131686.10|ENST00000476083.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000197241.3|MICT00000002680.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142583.13|ENST00000377424.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758.10|ENCT00000021468.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049239.8|ENST00000377403.2	0	1	0	1	0	0	0	0	0	0	0
ENSG00000171621.9|ENCT00000001100.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000171612.6|ENST00000302692.6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188807.8|ENST00000340381.6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171608.11|ENST00000536656.1	0	1	0	1	0	0	0	0	0	0	0
ENSG00000179840.5|ENST00000377320.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000171603.12|HBMT00000052135.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178585.10|ENST00000377263.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162441.7|ENST00000377223.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173614.9|ENST00000403197.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162444.11|ENST00000294435.7	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130939.14|ENST00000377157.3	0	1	0	0	0	0	0	0	0	0	0
ENSG00000054523.12|FTMT20300091410.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142657.16|ENST00000541529.1	0	0	0	1	0	0	0	0	0	0	1
ENSG00000251503.3|ENST00000400900.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175279.17|ENST00000477755.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241563.2|ENST00000320498.4	0	0	0	1	0	0	0	0	0	0	0
ENSG00000160049.7|ENST00000377038.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655.8|ENST00000538836.1	0	1	0	0	0	0	0	0	0	0	0
CATG00000046569.1|MICT00000002936.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130940.10|ENCT00000021595.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000014616.1|MICT00000002946.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000015125.1|ENCT00000001323.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262.10|HBMT00000052282.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120948.11|ENST00000476201.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000009724.12|ENST00000400897.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116649.5|ENST00000376957.2	0	0	0	0	0	0	0	0	0	0	1
CATG00000016066.1|HBMT00000003433.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171824.9|ENST00000376936.4	0	0	0	0	0	0	0	0	0	0	1
ENSG00000198793.8|FTMT20100106858.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171819.4|ENST00000376819.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120942.9|ENST00000376810.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204624.6|MICT00000003119.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000046961.1|ENCT00000021678.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116661.9|MICT00000003130.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132879.9|FTMT20300105176.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116663.6|FTMT20300105179.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116670.10|ENCT00000021690.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162490.6|ENST00000294485.5	0	0	0	1	0	0	0	0	0	0	0
ENSG00000177674.11|ENST00000491346.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177000.6|FTMT20100012768.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215910.3|ENST00000482358.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000011021.17|ENST00000376487.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000175206.6|ENST00000376480.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120937.8|ENST00000376468.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116685.11|ENST00000376576.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000083444.12|ENST00000376369.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116688.12|ENST00000497302.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116691.6|ENCT00000001527.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120949.10|FTMT20300059069.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000028137.12|ENST00000492361.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000047496.1|ENCT00000021736.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048707.9|ENST00000356315.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162496.4|FTMT20100036391.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204518.2|ENCT00000001612.1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000188984.7|ENST00000332530.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157330.5|MICT00000003347.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000023170.1|ENCT00000001622.1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000116721.9|ENST00000332296.7	0	0	0	1	0	1	0	0	0	0	0
ENSG00000120952.4|ENST00000240189.2	0	0	0	1	0	1	0	0	0	0	0
ENSG00000162494.5|ENST00000376085.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162493.12|ENST00000510906.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116731.18|ENST00000503842.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000047851.1|MICT00000003448.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000047967.1|FTMT20100078549.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189337.11|FTMT20300089403.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171729.9|ENST00000434578.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204464.3|MICT00000003622.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000025492.1|MICT00000003627.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000142621.15|MICT00000003673.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142634.8|ENST00000375980.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162438.7|ENST00000375943.2	0	0	0	1	0	0	0	0	0	0	0
ENSG00000142615.7|ENST00000359621.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215704.5|ENST00000375910.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132906.13|ENST00000546969.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000116138.8|ENST00000375847.3	0	0	0	0	0	0	1	0	0	0	0
ENSG00000116771.5|ENCT00000021897.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197312.7|ENST00000480945.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000215695.1|ENST00000345034.1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000116786.7|ENST00000375799.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162461.7|ENST00000294454.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162460.6|ENST00000375782.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162458.8|ENST00000400773.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000065526.6|ENST00000375759.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000116809.7|ENST00000375743.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183888.4|ENST00000329454.2	0	0	0	1	0	1	0	0	0	0	0
ENSG00000186510.7|ENCT00000002014.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000173641.13|ENST00000311890.9	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184908.13|ENST00000375679.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185519.8|ENST00000375662.4	0	1	0	0	0	0	0	0	0	0	0
ENSG00000142627.9|ENCT00000021968.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142632.12|FTMT20100106944.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000029208.1|ENCT00000002057.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132881.7|ENST00000375599.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000037637.6|MICT00000003993.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000055070.12|ENST00000375590.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187144.7|ENST00000466212.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157191.15|ENST00000492095.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000219481.6|ENST00000449853.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000058453.12|MICT00000004305.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117122.9|ENST00000490075.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159363.13|ENST00000452699.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000117118.5|FTMT20100028220.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000117115.8|FTMT20100092371.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142623.8|ENST00000375471.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142619.4|ENST00000375460.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000159339.9|FTMT20300105582.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000179051.9|ENST00000375436.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074964.12|ENST00000452522.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000049183.1|FTMT20200000690.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117148.6|ENST00000375406.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000117154.7|ENST00000251296.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179023.7|ENST00000400664.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000009709.7|ENST00000420770.2	0	0	0	0	1	0	0	0	0	0	0
ENSG00000255275.3|ENST00000494072.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159423.12|ENST00000290597.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169991.6|ENST00000455833.2	0	0	0	1	0	0	0	0	0	0	0
CATG00000038794.1|ENCT00000002258.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000127481.10|FTMT20100092723.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127463.9|ENST00000477853.1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000053372.4|ENCT00000002271.1	0	0	0	0	1	0	0	0	0	0	0
ENSG00000162482.4|FTMT20100038620.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000053371.8|ENST00000492217.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000040487.8|ENST00000375155.3	0	0	0	1	0	0	0	0	0	0	1
ENSG00000077549.13|ENST00000375142.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000040062.1|MICT00000004709.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173436.9|ENCT00000002315.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270136.1|ENST00000602662.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158747.9|ENST00000548815.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000158748.3|ENCT00000002334.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162542.9|ENST00000294543.6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178828.5|ENST00000375121.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169914.5|ENST00000375120.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188257.6|ENST00000469162.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127472.6|ENST00000375108.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000117215.10|ENST00000375105.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158786.4|ENST00000375102.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000187980.6|ENCT00000022428.1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000162543.5|MICT00000004837.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158816.11|ENST00000289815.8	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162545.5|ENST00000375078.3	0	0	0	0	0	0	0	0	0	0	0
CATG00000043245.1|MICT00000004923.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000090432.5|ENST00000264198.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000183114.6|ENCT00000002412.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000158825.5|ENCT00000002413.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158828.5|ENST00000321556.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244038.5|ENCT00000022468.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117245.8|FTMT20100107238.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000044596.1|MICT00000004976.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000049954.1|ENCT00000022480.1	1	0	0	1	0	0	0	0	0	0	0
ENSG00000189410.7|ENCT00000022489.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000127483.13|FTMT20100085660.1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000075151.15|ENST00000602326.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117298.10|ENST00000415912.2	0	0	0	0	0	0	0	0	0	0	0
CATG00000046265.1|HBMT00000006656.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142794.14|ENST00000318220.6	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162551.9|ENST00000374840.3	0	0	0	0	0	0	0	0	0	0	0
CATG00000050093.1|HBMT00000054861.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000076864.15|ENST00000374765.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000090686.11|FTMT20100014462.1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000187942.7|ENCT00000002465.1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000142798.12|ENST00000374695.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000219073.3|ENST00000337107.6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142789.15|MICT00000005208.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070831.11|ENST00000344548.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162552.10|ENCT00000022698.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184677.12|ENST00000404138.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070886.6|ENST00000166244.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173372.12|ENST00000374642.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000159189.7|ENST00000374639.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000173369.11|ENST00000432749.2	0	0	0	1	0	0	0	0	0	0	0
ENSG00000133216.12|ENST00000544305.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000215906.4|FTMT20100062343.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227868.2|ENCT00000022716.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000004487.11|ENST00000356634.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169641.9|ENST00000314174.5	0	1	0	0	0	0	0	0	0	0	0
ENSG00000179546.3|MICT00000005358.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125944.14|ENST00000427764.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125945.10|FTMT20100107437.1	0	0	0	0	0	0	0	0	0	0	0
